City,State,NumMDs,RateMDs,NumBeds,RateBeds,NumMedicare,PctChangeMedicare,SSBChange,NumRetired
Holland-Grand Haven, MI,349,140,316,127,29533,8.3,8.1,23165
Louisville, KY-IN,4042,340,3909,328,173845,3,3,118920
Battle Creek,AA,256,184,517,372,22972,2.4,3.3,16645
Madison, WI,2679,510,1467,279,60530,5.2,4.9,47085
Fort Smith, AR-OK,502,179,975,348,45185,4.6,5.8,29415
Sarasota-Bradenton-Venice, FL,2352,371,1899,299,161625,2.5,2.7,129855
Anderson, IN,200,153,231,176,22828,1.1,1.1,17040
Honolulu, HI,3478,389,2160,242,126752,5.2,4.7,99140
Asheville, NC,1489,389,1213,317,76397,5.1,5.1,56820
Winston-Salem, NC,2018,462,1901,435,66298,6,5.6,50440
Springfield, IL,1033,505,1023,500,31300,1.8,2.5,23275
Lakeland, FL,954,187,1190,233,93608,5,6.1,73255
Sacramento--Arden-Arcade--Roseville, CA,5738,290,3584,181,245669,8.3,6.6,167300
Green Bay, WI,653,224,669,229,37330,4.6,5.4,28605
Myrtle Beach-Conway-North Myrtle Beach, SC,419,199,571,271,33827,12.8,13.5,29905
Charleston, WV,996,324,1287,419,58627,3,3,35070
Janesville, WI,333,215,394,254,22752,4.2,4.8,17825
Raleigh-Cary, NC,2036,229,1739,196,85016,11,11.3,62375
Providence-New Bedford-Fall River, RI-MA,4990,307,3595,221,261178,0.7,1,193780
Pueblo, CO,416,279,543,364,25964,3.5,1.7,15630
Beaumont-Port Arthur, TX,708,185,1412,369,58169,1.4,2.4,38030
Trenton-Ewing, NJ,1484,411,1296,359,52272,1.1,0.1,38370
Lewiston, ID-WA,143,245,197,338,11311,6.1,5.1,8095
Odessa, TX,255,207,438,356,15937,4.2,2.9,10020
Scranton--Wilkes-Barre, PA,1404,254,2140,387,115273,-2.2,-0.7,85525
Oxnard-Thousand Oaks-Ventura, CA,1889,239,1353,171,91182,7.3,5.8,66365
Victoria, TX,245,217,656,581,16135,4.9,4.9,11045
Hot Springs, AR,297,326,465,510,23127,2.6,2.4,16325
Decatur, IL,286,257,494,444,20177,0.9,1.5,14320
Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division,4612,267,4921,285,244892,-2.1,-1.8,187475
Springfield, OH,237,166,392,274,24374,0.6,1.1,16120
Springfield, IL,1033,505,1023,500,31300,1.8,2.5,23275
Morgantown, WV,843,743,728,641,15026,2,3.2,9965
Idaho Falls, ID,226,210,299,278,12830,7.4,8.6,9775
Minneapolis-St. Paul-Bloomington, MN-WI,9410,305,6177,200,330821,4.6,4.7,254260
Lawton, OK,235,213,445,403,13205,5.2,5.2,9070
Anderson, IN,200,153,231,176,22828,1.1,1.1,17040
Charleston, WV,996,324,1287,419,58627,3,3,35070
Indianapolis, IN,6180,386,4997,312,190606,4.5,4.7,144260
Spartanburg, SC,612,234,626,239,41603,6,6.5,28770
Brownsville-Harlingen, TX,550,152,975,269,38107,5.6,6,24875
Huntsville, AL,849,237,973,272,46661,10.6,9.9,32920
Hanford-Corcoran, CA,144,104,141,102,11430,7.4,7,7760
Reno-Sparks, NV,1176,314,1017,271,45320,12.7,12.8,36230
Augusta-Richmond County, GA-SC,1039,204,1830,359,67240,5.7,5.9,47615
Visalia-Porterville, CA,527,135,736,188,42622,4.1,4.7,29935
Duluth, MN-WI,821,297,1567,567,49355,0.5,1.8,33770
Shreveport-Bossier City, LA,1714,453,2235,590,55367,2.8,2.4,36760
Little Rock-North Little Rock, AR,2773,441,3008,478,84220,6.5,6.1,60350
Baton Rouge, LA,1639,227,2079,288,80643,5.7,5.8,50580
Pocatello, ID,180,217,369,445,10306,4.7,4.8,6775
Yuba City, CA,272,183,213,144,20038,5.2,3.4,13260
Binghamton, NY,681,272,665,265,46273,1.2,1.1,35075
Kennewick-Richland-Pasco, WA,389,185,431,205,22589,7.4,6.7,17070
Kankakee-Bradley, IL,185,174,445,419,16616,2.1,2.1,11075
Barnstable Town, MA,844,368,306,134,57608,2.6,2.3,45965
Worcester, MA,2753,355,1634,211,112188,0.2,-0.5,80890
Fayetteville-Springdale-Rogers, AR-MO,711,188,860,227,50698,5.2,5.6,37530
Flagstaff, AZ,324,267,267,220,14208,10.7,8.2,7485
Binghamton, NY,681,272,665,265,46273,1.2,1.1,35075
New Orleans-Metairie-Kenner, LA,6050,460,5723,435,179082,2.7,2.4,111380
Boise City-Nampa, ID,1195,234,1062,208,56800,10.1,11.4,43575
Medford, OR,601,316,539,283,33915,6,5.2,26530
Bakersfield, CA,1121,157,1498,210,78689,6.4,6.4,52445
La Crosse, WI-MN,576,448,484,377,18833,2.7,2.4,14520
Altoona, PA,340,267,469,368,25027,0.6,3.8,16115
Warren-Farmington Hills-Troy, MI Metropolitan Division,8107,330,5046,205,325382,3.8,4.2,245850
Ogden-Clearfield, UT,765,163,718,153,44492,7.5,7.3,32330
Trenton-Ewing, NJ,1484,411,1296,359,52272,1.1,0.1,38370
Buffalo-Niagara Falls, NY,4070,351,5182,447,207164,-0.7,-0.7,147130
Florence-Muscle Shoals, AL,274,193,552,389,26830,5.1,5.4,17685
Winston-Salem, NC,2018,462,1901,435,66298,6,5.6,50440
Midland, TX,223,188,373,314,14662,5.3,3.8,10785
Clarksville, TN-KY,364,154,365,155,26365,6.6,6.6,18670
Salt Lake City, UT,3544,352,2036,202,88603,5.1,5.1,67300
Midland, TX,223,188,373,314,14662,5.3,3.8,10785
